part	docid	raw_file	raw_bytes	text_file	text_bytes	title	url
ENWIKI	14786	14786.wiki	33035	14786.txt	15478	Chlordiazepoxide	https://en.wikipedia.org/wiki/Chlordiazepoxide
ENWIKI	18981	18981.wiki	38876	18981.txt	18354	Iodine-131	https://en.wikipedia.org/wiki/Iodine-131
ENWIKI	10052	10052.wiki	16368	10052.txt	9271	Lester Harrison (serial killer)	https://en.wikipedia.org/wiki/Lester_Harrison_(serial_killer)
ENWIKI	10187	10187.wiki	153878	10187.txt	47208	Azealia Banks	https://en.wikipedia.org/wiki/Azealia_Banks
ENWIKI	17555	17555.wiki	31782	17555.txt	13546	Magen David Adom	https://en.wikipedia.org/wiki/Magen_David_Adom
ENWIKI	11805	11805.wiki	16181	11805.txt	9001	The Ship Who Sang	https://en.wikipedia.org/wiki/The_Ship_Who_Sang
ENWIKI	19016	19016.wiki	7472	19016.txt	3090	2013 Swansea measles epidemic	https://en.wikipedia.org/wiki/2013_Swansea_measles_epidemic
ENWIKI	5555	05555.wiki	111569	05555.txt	12739	Analgesic	https://en.wikipedia.org/wiki/Analgesic
ENWIKI	12670	12670.wiki	42619	12670.txt	17237	Society for Psychical Research	https://en.wikipedia.org/wiki/Society_for_Psychical_Research
ENWIKI	13949	13949.wiki	9186	13949.txt	6581	Alice Rühle-Gerstel	https://en.wikipedia.org/wiki/Alice_R%C3%BChle-Gerstel
ENWIKI	14540	14540.wiki	22744	14540.txt	8584	Remifentanil	https://en.wikipedia.org/wiki/Remifentanil
ENWIKI	13321	13321.wiki	10811	13321.txt	7803	Superstar effect	https://en.wikipedia.org/wiki/Superstar_effect
RUWIKI	1367	01367.wiki	17653	01367.txt	11132	Клиническое питание	https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B8%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5_%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D0%B5
RUWIKI	1530	01530.wiki	12920	01530.txt	8260	Наказание молчанием	https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D0%B5_%D0%BC%D0%BE%D0%BB%D1%87%D0%B0%D0%BD%D0%B8%D0%B5%D0%BC
RUWIKI	469	00469.wiki	12351	00469.txt	8666	Граница (фильм, 2007)	https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2007)
RUWIKI	774	00774.wiki	155106	00774.txt	51137	Иванов, Порфирий Корнеевич	https://ru.wikipedia.org/wiki/%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%9F%D0%BE%D1%80%D1%84%D0%B8%D1%80%D0%B8%D0%B9_%D0%9A%D0%BE%D1%80%D0%BD%D0%B5%D0%B5%D0%B2%D0%B8%D1%87
RUWIKI	749	00749.wiki	112473	00749.txt	52565	Буковский, Владимир Константинович	https://ru.wikipedia.org/wiki/%D0%91%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
RUWIKI	1165	01165.wiki	11448	01165.txt	7938	Методика от 100 по 7	https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%82%D0%BE%D0%B4%D0%B8%D0%BA%D0%B0_%D0%BE%D1%82_100_%D0%BF%D0%BE_7
RUWIKI	1780	01780.wiki	7818	01780.txt	6648	Аффективная память	https://ru.wikipedia.org/wiki/%D0%90%D1%84%D1%84%D0%B5%D0%BA%D1%82%D0%B8%D0%B2%D0%BD%D0%B0%D1%8F_%D0%BF%D0%B0%D0%BC%D1%8F%D1%82%D1%8C
RUWIKI	1525	01525.wiki	16047	01525.txt	10468	Психологическое насилие	https://ru.wikipedia.org/wiki/%D0%9F%D1%81%D0%B8%D1%85%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5_%D0%BD%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B5
RUWIKI	922	00922.wiki	41153	00922.txt	17332	Клетус Кэседи (Вселенная Человека-паука от Sony)	https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B5%D1%82%D1%83%D1%81_%D0%9A%D1%8D%D1%81%D0%B5%D0%B4%D0%B8_(%D0%92%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA%D0%B0-%D0%BF%D0%B0%D1%83%D0%BA%D0%B0_%D0%BE%D1%82_Sony)
RUWIKI	1280	01280.wiki	22768	01280.txt	18450	Обучаемость	https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%83%D1%87%D0%B0%D0%B5%D0%BC%D0%BE%D1%81%D1%82%D1%8C
RUWIKI	509	00509.wiki	9795	00509.txt	5632	Селективный мутизм	https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D0%B8%D0%B2%D0%BD%D1%8B%D0%B9_%D0%BC%D1%83%D1%82%D0%B8%D0%B7%D0%BC
RUWIKI	1689	01689.wiki	10803	01689.txt	9249	Метод 360 градусов	https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%82%D0%BE%D0%B4_360_%D0%B3%D1%80%D0%B0%D0%B4%D1%83%D1%81%D0%BE%D0%B2
